Worker ID,Social security number,Name,Position,Plane licence,Address,Phone,Cellphone,Email,Active,Available
1,3009907461,William Carillo,Captain,FokkerF100,Fellsmúli 1,8998801,8998801,test@test.com,TRUE,TRUE
2,2910858778,Virginia Ho,Captain,BAE146,Fellsmúli 2,8998802,8998802,test@test.com,TRUE,TRUE
3,2706838569,Gerard Nelson,Captain,FokkerF100,Fellsmúli 3,8998803,8998803,test@test.com,TRUE,TRUE
4,2209955782,Allen Ley,Captain,BAE146,Fellsmúli 4,8998804,8998804,test@test.com,TRUE,TRUE
5,2907675667,Felecia Moye,Captain,BAE146,Fellsmúli 5,8998805,8998805,test@test.com,TRUE,TRUE
6,1309797899,Tyler Anderson,Captain,FokkerF28,Fellsmúli 6,8998806,8998806,test@test.com,TRUE,TRUE
7,2410876598,Nan Gage,Copilot,FokkerF100,Fellsmúli 7,8998807,8998807,test@test.com,TRUE,TRUE
8,2211658134,Charla Johnson,Copilot,BAE146,Fellsmúli 8,8998808,8998808,test@test.com,TRUE,TRUE
9,2504939263,Sam Preciado,Copilot,BAE146,Fellsmúli 9,8998809,8998809,test@test.com,TRUE,TRUE
10,1900769521,Jasmine Hagadone,Copilot,BAE146,Fellsmúli 10,8998810,8998810,test@test.com,TRUE,TRUE
11,2500812671,Anna Phillips,Copilot,FokkerF28,Fellsmúli 11,8998811,8998811,test@test.com,TRUE,TRUE
12,1309927223,Patricia Bates,Copilot,FokkerF28,Fellsmúli 12,8998812,8998812,test@test.com,TRUE,TRUE
13,1600904199,Sherry Walker,Flight Service Manager,N/A,Fellsmúli 13,8998813,8998813,test@test.com,TRUE,TRUE
14,303758167,Margarita Fischer,Flight Service Manager,N/A,Fellsmúli 14,8998814,8998814,test@test.com,TRUE,TRUE
15,2200763823,Judith Aleshire,Flight Service Manager,N/A,Fellsmúli 15,8998815,8998815,test@test.com,TRUE,TRUE
16,1308941169,Jacob Blecha,Flight Service Manager,N/A,Fellsmúli 16,8998816,8998816,test@test.com,TRUE,TRUE
17,1405853585,Lula Stefani,Flight Service Manager,N/A,Fellsmúli 17,8998817,8998817,test@test.com,TRUE,TRUE
18,909862878,Richard Sanders,Flight Service Manager,N/A,Fellsmúli 18,8998818,8998818,test@test.com,TRUE,TRUE
19,1811931544,John Kline,Flight Service Manager,N/A,Fellsmúli 19,8998819,8998819,test@test.com,TRUE,TRUE
20,409858797,Evelyn Pickhardt,Flight Service Manager,N/A,Fellsmúli 20,8998820,8998820,test@test.com,TRUE,TRUE
21,3002688722,Stacey Henrickson,Flight Attendant,N/A,Fellsmúli 21,8998821,8998821,test@test.com,TRUE,TRUE
22,3003962187,Delores Whitfield,Flight Attendant,N/A,Fellsmúli 22,8998822,8998822,test@test.com,TRUE,TRUE
23,1311772221,Maribel Lucero,Flight Attendant,N/A,Fellsmúli 23,8998823,8998823,test@test.com,TRUE,TRUE
24,2509913418,Katherine Wernimont,Flight Attendant,N/A,Fellsmúli 24,8998824,8998824,test@test.com,TRUE,TRUE
25,1103647756,Wilma Horne,Flight Attendant,N/A,Fellsmúli 25,8998825,8998825,test@test.com,TRUE,TRUE
26,2807755841,Bernard Carr,Flight Attendant,N/A,Fellsmúli 26,8998826,8998826,test@test.com,TRUE,TRUE
27,409907212,Sara Davis,Flight Attendant,N/A,Fellsmúli 27,8998827,8998827,test@test.com,TRUE,TRUE
28,1103912131,Robert Swope,Flight Attendant,N/A,Fellsmúli 28,8998828,8998828,test@test.com,TRUE,TRUE
29,2801645554,John Iversen,Flight Attendant,N/A,Fellsmúli 29,8998829,8998829,4j54i5j,TRUE,TRUE
30,1501681497,Rhonda Forman,Flight Attendant,N/A,Fellsmúli 30,8998830,8998830,test@test.com,TRUE,TRUE
31,1811813379,Melissa Paquette,Flight Attendant,N/A,Fellsmúli 31,8998831,8998831,test@test.com,TRUE,TRUE
32,505942924,Carlton Chan,Flight Attendant,N/A,Fellsmúli 32,8998832,8998832,test@test.com,TRUE,TRUE
33,1110732819,Arthur Karr,Flight Attendant,N/A,Fellsmúli 33,8998833,8998833,test@test.com,TRUE,TRUE
34,2602806942,Teresa Thruman,Flight Attendant,N/A,Fellsmúli 34,8998834,8998834,test@test.com,TRUE,TRUE
35,1107951952,Elizabeth Mcfadden,Flight Attendant,N/A,testingtesting,8998835,1230099,test@test.com,TRUE,TRUE
